Ensemblgeneid,Genename,UniProt,annotcategory
ENSG00000125788,DEFB126,Q9BYW3,Locally secreted in male tissues
ENSG00000125815,CST8,O60676,Locally secreted in male tissues
ENSG00000125823,CSTL1,Q9H114,Locally secreted in male tissues
ENSG00000125831,CST11,Q9H112,Locally secreted in male tissues
ENSG00000125845,BMP2,P12643,Secreted to blood
ENSG00000125848,FLRT3,Q9NZU0,Intracellular or membrane-bound
ENSG00000125851,PCSK2,P16519,Locally secreted
ENSG00000125861,GFRA4,Q9GZZ7,Intracellular or membrane-bound
ENSG00000125879,OTOR,Q9NRC9,Locally secreted
ENSG00000125900,SIRPD,Q9H106,Locally secreted in male tissues
ENSG00000125903,DEFB129,Q9H1M3,Locally secreted in male tissues
ENSG00000125965,GDF5,P43026,Secreted to blood
ENSG00000125967,NECAB3,Q96P71,Intracellular or membrane-bound
ENSG00000125968,ID1,P41134,Intracellular or membrane-bound
ENSG00000125999,BPIFB1,Q8TDL5,Locally secreted
ENSG00000126091,ST3GAL3,Q11203,Intracellular or membrane-bound
ENSG00000126217,MCF2L,O15068,Intracellular or membrane-bound
ENSG00000126231,PROZ,P22891,Secreted to blood
ENSG00000126233,SLURP1,P55000,Locally secreted
ENSG00000126246,IGFLR1,Q9H665,Intracellular or membrane-bound
ENSG00000126259,KIRREL2,Q6UWL6,Intracellular or membrane-bound
ENSG00000126500,FLRT1,Q9NZU1,Intracellular or membrane-bound
ENSG00000126545,CSN1S1,P47710,Locally secreted in female tissues
ENSG00000126549,STATH,P02808,Locally secreted to GI-tract
ENSG00000126550,HTN1,P15515,Locally secreted to GI-tract
ENSG00000126759,CFP,P27918,Secreted to blood
ENSG00000126838,PZP,P20742,Secreted to blood
ENSG00000126861,OMG,P23515,Intracellular or membrane-bound
ENSG00000126882,FAM78A,Q5JUQ0,Intracellular or membrane-bound
ENSG00000127083,OMD,Q99983,Locally secreted
ENSG00000127129,EDN2,P20800,Secreted to blood
ENSG00000127241,MASP1,P48740,Secreted to blood
ENSG00000127318,IL22,Q9GZX6,Secreted to blood
ENSG00000127415,IDUA,P35475,Intracellular or membrane-bound
ENSG00000127472,PLA2G5,P39877,Secreted - unknown location
ENSG00000127554,GFER,P55789,Intracellular or membrane-bound
ENSG00000127578,WFIKKN1,Q96NZ8,Locally secreted
ENSG00000127743,IL17B,Q9UHF5,Secreted to blood
ENSG00000127951,FGL2,Q14314,Secreted to blood
ENSG00000128040,SPINK2,P20155,Secreted to blood
ENSG00000128165,ADM2,Q7Z4H4,Secreted to blood
ENSG00000128218,VPREB3,Q9UKI3,Intracellular or membrane-bound
ENSG00000128228,SDF2L1,Q9HCN8,Intracellular or membrane-bound
ENSG00000128242,GAL3ST1,Q99999,Intracellular or membrane-bound
ENSG00000128268,MGAT3,Q09327,Intracellular or membrane-bound
ENSG00000128284,APOL3,O95236,Intracellular or membrane-bound
ENSG00000128294,TPST2,O60704,Intracellular or membrane-bound
ENSG00000128322,IGLL1,P15814,Secreted to blood
ENSG00000128342,LIF,P15018,Locally secreted
ENSG00000128510,CPA4,Q9UI42,Locally secreted
ENSG00000128564,VGF,O15240,Secreted to blood
ENSG00000128590,DNAJB9,Q9UBS3,Intracellular or membrane-bound
ENSG00000128595,CALU,O43852,Intracellular or membrane-bound
ENSG00000128606,LRRC17,Q8N6Y2,Locally secreted
ENSG00000128654,MTX2,O75431,Intracellular or membrane-bound
ENSG00000128791,TWSG1,Q9GZX9,Secreted - unknown location
ENSG00000129009,ISLR,O14498,Secreted - unknown location
ENSG00000129038,LOXL1,Q08397,Locally secreted to extracellular matrix
ENSG00000129103,SUMF2,Q8NBJ7,Intracellular or membrane-bound
ENSG00000129214,SHBG,P04278,Secreted to blood
ENSG00000129437,KLK14,Q9P0G3,Locally secreted
ENSG00000129451,KLK10,O43240,Locally secreted
ENSG00000129455,KLK8,O60259,Locally secreted
ENSG00000129538,RNASE1,P07998,Locally secreted to GI-tract
ENSG00000129636,ITFG1,Q8TB96,Intracellular or membrane-bound
ENSG00000129673,AANAT,Q16613,Intracellular or membrane-bound
ENSG00000129933,MAU2,Q9Y6X3,Intracellular or membrane-bound
ENSG00000129965,INS-IGF2,F8WCM5,Locally secreted to GI-tract
ENSG00000129988,LBP,P18428,Secreted to blood
ENSG00000130173,ANGPTL8,Q6UXH0,Secreted to blood
ENSG00000130175,PRKCSH,P14314,Intracellular or membrane-bound
ENSG00000130193,THEM6,Q8WUY1,Secreted - unknown location
ENSG00000130203,APOE,P02649,Secreted to blood
ENSG00000130208,APOC1,P02654,Secreted to blood
ENSG00000130283,GDF1,P27539,Secreted to blood
ENSG00000130287,NCAN,O14594,Locally secreted in brain
ENSG00000130309,COLGALT1,Q8NBJ5,Intracellular or membrane-bound
ENSG00000130385,BMP15,O95972,Locally secreted
ENSG00000130414,NDUFA10,O95299,Intracellular or membrane-bound
ENSG00000130427,EPO,P01588,Secreted to blood
ENSG00000130508,PXDN,Q92626,Locally secreted to extracellular matrix
ENSG00000130513,GDF15,Q99988,Secreted to blood
ENSG00000130528,HRC,P23327,Intracellular or membrane-bound
ENSG00000130558,OLFM1,Q99784,Locally secreted in brain
ENSG00000130635,COL5A1,P20908,Locally secreted to extracellular matrix
ENSG00000130649,CYP2E1,P05181,Intracellular or membrane-bound
ENSG00000130702,LAMA5,O15230,Locally secreted to extracellular matrix
ENSG00000130711,PRDM12,Q9H4Q4,Intracellular or membrane-bound
ENSG00000130726,TRIM28,Q13263,Intracellular or membrane-bound
ENSG00000130768,SMPDL3B,Q92485,Secreted to blood
ENSG00000130812,ANGPTL6,Q8NI99,Secreted to blood
ENSG00000131015,ULBP2,Q9BZM5,Locally secreted
ENSG00000131019,ULBP3,Q9BZM4,Intracellular or membrane-bound
ENSG00000131050,BPIFA2,Q96DR5,Locally secreted to GI-tract
ENSG00000131059,BPIFA3,Q9BQP9,Locally secreted in male tissues
ENSG00000131068,DEFB118,Q96PH6,Locally secreted in male tissues
ENSG00000131094,C1QL1,O75973,Locally secreted in brain
ENSG00000131096,PYY,P10082,Secreted to blood
ENSG00000131126,TEX101,Q9BY14,Locally secreted in male tissues
ENSG00000131142,CCL25,O15444,Secreted to blood
ENSG00000131238,PPT1,P50897,Intracellular or membrane-bound
ENSG00000131355,ADGRE3,Q9BY15,Secreted to blood
ENSG00000131386,GALNT15,Q8N3T1,Intracellular or membrane-bound
ENSG00000131400,NAPSA,O96009,Locally secreted
ENSG00000131480,AOC2,O75106,Intracellular or membrane-bound
ENSG00000131507,NDFIP1,Q9BT67,Intracellular or membrane-bound
ENSG00000131650,KREMEN2,Q8NCW0,Intracellular or membrane-bound
ENSG00000131686,CA6,P23280,Locally secreted to GI-tract
ENSG00000131724,IL13RA1,P78552,Intracellular or membrane-bound
ENSG00000131808,FSHB,P01225,Secreted to blood
ENSG00000131828,PDHA1,P08559,Intracellular or membrane-bound
ENSG00000131873,CHSY1,Q86X52,Secreted - unknown location
ENSG00000131981,LGALS3,P17931,Secreted to blood
ENSG00000132000,PODNL1,Q6PEZ8,Secreted - unknown location
ENSG00000132026,RTBDN,Q9BSG5,Locally secreted
ENSG00000132031,MATN3,O15232,Locally secreted to extracellular matrix
ENSG00000132122,SPATA6,Q9NWH7,Intracellular or membrane-bound
ENSG00000132185,FCRLA,Q7L513,Intracellular or membrane-bound
ENSG00000132205,EMILIN2,Q9BXX0,Locally secreted to extracellular matrix
ENSG00000132297,HHLA1,C9JL84,Secreted - unknown location
ENSG00000132313,MRPL35,Q9NZE8,Intracellular or membrane-bound
ENSG00000132386,SERPINF1,P36955,Secreted to blood
ENSG00000132464,ENAM,Q9NRM1,Locally secreted to extracellular matrix
ENSG00000132465,JCHAIN,P01591,Secreted to blood
ENSG00000132535,DLG4,P78352,Intracellular or membrane-bound
ENSG00000132561,MATN2,O00339,Locally secreted to extracellular matrix
ENSG00000132581,SDF2,Q99470,Intracellular or membrane-bound
ENSG00000132692,BCAN,Q96GW7,Locally secreted in brain
ENSG00000132693,CRP,P02741,Secreted to blood
ENSG00000132702,HAPLN2,Q9GZV7,Locally secreted in brain
ENSG00000132703,APCS,P02743,Secreted to blood
ENSG00000132821,VSTM2L,Q96N03,Secreted - unknown location
ENSG00000132855,ANGPTL3,Q9Y5C1,Secreted to blood
ENSG00000133048,CHI3L1,P36222,Secreted to blood
ENSG00000133063,CHIT1,Q13231,Secreted to blood
ENSG00000133110,POSTN,Q15063,Locally secreted to extracellular matrix
ENSG00000133116,KL,Q9UEF7,Secreted to blood
ENSG00000133216,EPHB2,P29323,Intracellular or membrane-bound
ENSG00000133401,PDZD2,O15018,Intracellular or membrane-bound
ENSG00000133466,C1QTNF6,Q9BXI9,Secreted to blood
ENSG00000133636,NTS,P30990,Locally secreted to GI-tract
ENSG00000133661,SFTPD,P35247,Locally secreted
ENSG00000133710,SPINK5,Q9NQ38,Locally secreted
ENSG00000133794,ARNTL,O00327,Intracellular or membrane-bound
ENSG00000134013,LOXL2,Q9Y4K0,Locally secreted to extracellular matrix
ENSG00000134020,PEBP4,Q96S96,Locally secreted
ENSG00000134028,ADAMDEC1,O15204,Locally secreted
ENSG00000134121,CHL1,O00533,Intracellular or membrane-bound
ENSG00000134193,REG4,Q9BYZ8,Locally secreted to GI-tract
ENSG00000134200,TSHB,P01222,Secreted to blood
ENSG00000134216,CHIA,Q9BZP6,Intracellular or membrane-bound
ENSG00000134245,WNT2B,Q93097,Locally secreted to extracellular matrix
ENSG00000134259,NGF,P01138,Locally secreted
ENSG00000134339,SAA2,P0DJI9,Secreted to blood
ENSG00000134352,IL6ST,P40189,Secreted to blood
ENSG00000134363,FST,P19883,Secreted to blood
ENSG00000134365,CFHR4,Q92496,Secreted to blood
ENSG00000134376,CRB1,P82279,Intracellular or membrane-bound
ENSG00000134389,CFHR5,Q9BXR6,Secreted to blood
ENSG00000134398,ERN2,Q76MJ5,Intracellular or membrane-bound
ENSG00000134443,GRP,P07492,Secreted to blood
ENSG00000134470,IL15RA,Q13261,Secreted to blood
ENSG00000134508,CABLES1,Q8TDN4,Intracellular or membrane-bound
ENSG00000134548,SPX,Q9BT56,Secreted to blood
ENSG00000134551,PRH2,P02810,Locally secreted to GI-tract
ENSG00000134575,ACP2,P11117,Intracellular or membrane-bound
ENSG00000134716,CYP2J2,P51589,Intracellular or membrane-bound
ENSG00000134775,FHOD3,Q2V2M9,Intracellular or membrane-bound
ENSG00000134812,GIF,P27352,Locally secreted to GI-tract
ENSG00000134827,TCN1,P20061,Secreted to blood
ENSG00000134871,COL4A2,P08572,Locally secreted to extracellular matrix
ENSG00000134901,KDELC1,Q6UW63,Intracellular or membrane-bound
ENSG00000134917,ADAMTS8,Q9UP79,Locally secreted to extracellular matrix
ENSG00000134940,ACRV1,P26436,Intracellular or membrane-bound
ENSG00000135047,CTSL,P07711,Intracellular or membrane-bound
ENSG00000135052,GOLM1,Q8NBJ4,Intracellular or membrane-bound
ENSG00000135222,CSN2,P05814,Locally secreted in female tissues
ENSG00000135226,UGT2B28,Q9BY64,Intracellular or membrane-bound
ENSG00000135245,HILPDA,Q9Y5L2,Intracellular or membrane-bound
ENSG00000135253,KCP,NA,Locally secreted
ENSG00000135272,MDFIC,Q9P1T7,Intracellular or membrane-bound
ENSG00000135318,NT5E,P21589,Intracellular or membrane-bound
ENSG00000135333,EPHA7,Q15375,Intracellular or membrane-bound
ENSG00000135346,CGA,P01215,Secreted to blood
ENSG00000135373,EHF,Q9NZC4,Intracellular or membrane-bound
ENSG00000135404,CD63,P08962,Intracellular or membrane-bound
ENSG00000135413,LACRT,Q9GZZ8,Locally secreted to GI-tract
ENSG00000135414,GDF11,O95390,Secreted to blood
ENSG00000135437,RDH5,Q92781,Intracellular or membrane-bound
ENSG00000135454,B4GALNT1,Q00973,Intracellular or membrane-bound
ENSG00000135506,OS9,Q13438,Intracellular or membrane-bound
ENSG00000135535,CD164,Q04900,Intracellular or membrane-bound
ENSG00000135537,AFG1L,Q8WV93,Intracellular or membrane-bound
ENSG00000135617,PRADC1,Q9BSG0,Secreted to blood
ENSG00000135677,GNS,P15586,Intracellular or membrane-bound
ENSG00000135702,CHST5,Q9GZS9,Intracellular or membrane-bound
ENSG00000135744,AGT,P01019,Secreted to blood
ENSG00000135862,LAMC1,P11047,Locally secreted to extracellular matrix
ENSG00000135919,SERPINE2,P07093,Locally secreted in female tissues
ENSG00000135925,WNT10A,Q9GZT5,Locally secreted to extracellular matrix
ENSG00000136110,CNMD,O75829,Locally secreted to extracellular matrix
ENSG00000136114,THSD1,Q9NS62,Intracellular or membrane-bound
ENSG00000136152,COG3,Q96JB2,Intracellular or membrane-bound
ENSG00000136156,ITM2B,Q9Y287,Intracellular or membrane-bound
ENSG00000136235,GPNMB,Q14956,Intracellular or membrane-bound
ENSG00000136237,RAPGEF5,Q92565,Intracellular or membrane-bound
ENSG00000136250,AOAH,P28039,Secreted to blood
ENSG00000136378,ADAMTS7,Q9UKP4,Locally secreted to extracellular matrix
ENSG00000136457,CHAD,O15335,Locally secreted to extracellular matrix
ENSG00000136487,GH2,P01242,Secreted to blood
ENSG00000136488,CSH1,P0DML2,Secreted to blood
ENSG00000136521,NDUFB5,O43674,Intracellular or membrane-bound
ENSG00000136634,IL10,P22301,Secreted to blood
ENSG00000136688,IL36G,Q9NZH8,Secreted to blood
ENSG00000136689,IL1RN,P18510,Secreted to blood
ENSG00000136694,IL36A,Q9UHA7,Secreted to blood
ENSG00000136695,IL36RN,Q9UBH0,Secreted to blood
ENSG00000136696,IL36B,Q9NZH7,Secreted to blood
ENSG00000136697,IL1F10,Q8WWZ1,Secreted to blood
ENSG00000136698,CFC1,P0CG37,Secreted - unknown location
ENSG00000136720,HS6ST1,O60243,Intracellular or membrane-bound
ENSG00000136810,TXN,P10599,Intracellular or membrane-bound
ENSG00000136816,TOR1B,O14657,Intracellular or membrane-bound
ENSG00000136827,TOR1A,O14656,Intracellular or membrane-bound
ENSG00000136859,ANGPTL2,Q9UKU9,Secreted to blood
ENSG00000136877,FPGS,Q05932,Intracellular or membrane-bound
ENSG00000136943,CTSV,O60911,Intracellular or membrane-bound
ENSG00000136960,ENPP2,Q13822,Intracellular or membrane-bound
ENSG00000136999,NOV,P48745,Secreted to blood
ENSG00000137033,IL33,O95760,Secreted to blood
ENSG00000137077,CCL21,O00585,Secreted to blood
ENSG00000137080,IFNA21,P01568,Secreted to blood
ENSG00000137133,HINT2,Q9BX68,Intracellular or membrane-bound
ENSG00000137142,IGFBPL1,Q8WX77,Secreted to blood
ENSG00000137161,CNPY3,Q9BT09,Intracellular or membrane-bound
ENSG00000137251,TINAG,Q9UJW2,Locally secreted to extracellular matrix
ENSG00000137261,KIAA0319,Q5VV43,Locally secreted in brain
ENSG00000137343,ATAT1,Q5SQI0,Intracellular or membrane-bound
ENSG00000137392,CLPS,P04118,Locally secreted to GI-tract
ENSG00000137440,FGFBP1,Q14512,Locally secreted
ENSG00000137441,FGFBP2,Q9BYJ0,Secreted to blood
ENSG00000137496,IL18BP,O95998,Secreted to blood
ENSG00000137507,LRRC32,Q14392,Intracellular or membrane-bound
ENSG00000137509,PRCP,P42785,Intracellular or membrane-bound
ENSG00000137558,PI15,O43692,Locally secreted
ENSG00000137563,GGH,Q92820,Intracellular or membrane-bound
ENSG00000137573,SULF1,Q8IWU6,Intracellular or membrane-bound
ENSG00000137575,SDCBP,O00560,Intracellular or membrane-bound
ENSG00000137634,NXPE4,Q6UWF7,Locally secreted to GI-tract
ENSG00000137642,SORL1,Q92673,Secreted to blood
ENSG00000137801,THBS1,P07996,Locally secreted to extracellular matrix
ENSG00000137815,RTF1,Q92541,Intracellular or membrane-bound
ENSG00000137845,ADAM10,O14672,Intracellular or membrane-bound
ENSG00000137872,SEMA6D,Q8NFY4,Intracellular or membrane-bound
ENSG00000137975,CLCA2,Q9UQC9,Intracellular or membrane-bound
ENSG00000137976,DNASE2B,Q8WZ79,Intracellular or membrane-bound
ENSG00000138028,CGREF1,Q99674,Locally secreted in brain
ENSG00000138080,EMILIN1,Q9Y6C2,Locally secreted to extracellular matrix
ENSG00000138109,CYP2C9,P11712,Intracellular or membrane-bound
ENSG00000138115,CYP2C8,P10632,Intracellular or membrane-bound
ENSG00000138131,LOXL4,Q96JB6,Locally secreted to extracellular matrix
ENSG00000138207,RBP4,P02753,Secreted to blood
ENSG00000138308,PLA2G12B,Q9BX93,Secreted to blood
ENSG00000138315,OIT3,Q8WWZ8,Secreted to blood
ENSG00000138316,ADAMTS14,Q8WXS8,Locally secreted to extracellular matrix
ENSG00000138379,MSTN,O14793,Locally secreted
ENSG00000138604,GLCE,O94923,Intracellular or membrane-bound
ENSG00000138615,CILP,O75339,Locally secreted to extracellular matrix
ENSG00000138675,FGF5,P12034,Locally secreted in brain
ENSG00000138684,IL21,Q9HBE4,Secreted to blood
ENSG00000138722,MMRN1,Q13201,Locally secreted to extracellular matrix
ENSG00000138744,NAAA,Q02083,Intracellular or membrane-bound
ENSG00000138755,CXCL9,Q07325,Secreted to blood
ENSG00000138759,FRAS1,Q86XX4,Intracellular or membrane-bound
ENSG00000138829,FBN2,P35556,Locally secreted to extracellular matrix
ENSG00000139044,B4GALNT3,Q6L9W6,Intracellular or membrane-bound
ENSG00000139055,ERP27,Q96DN0,Intracellular or membrane-bound
ENSG00000139178,C1RL,Q9NZP8,Secreted to blood
ENSG00000139200,PIANP,Q8IYJ0,Intracellular or membrane-bound
ENSG00000139219,COL2A1,P02458,Locally secreted to extracellular matrix
ENSG00000139269,INHBE,P58166,Secreted to blood
ENSG00000139278,GLIPR1,P48060,Intracellular or membrane-bound
ENSG00000139329,LUM,P51884,Locally secreted to extracellular matrix
ENSG00000139330,KERA,O60938,Locally secreted to extracellular matrix
ENSG00000139352,ASCL1,P50553,Intracellular or membrane-bound
ENSG00000139549,DHH,O43323,Locally secreted in male tissues
ENSG00000139567,ACVRL1,P37023,Intracellular or membrane-bound
ENSG00000139574,NPFF,O15130,Locally secreted in male tissues
ENSG00000139610,CELA1,Q9UNI1,Secreted - unknown location
ENSG00000139620,KANSL2,Q9H9L4,Intracellular or membrane-bound
ENSG00000139629,GALNT6,Q8NCL4,Intracellular or membrane-bound
ENSG00000139631,CSAD,Q9Y600,Intracellular or membrane-bound
ENSG00000139637,C12orf10,Q9HB07,Intracellular or membrane-bound
ENSG00000139899,CBLN3,Q6UW01,Locally secreted in brain
ENSG00000139988,RDH12,Q96NR8,Intracellular or membrane-bound
ENSG00000140092,FBLN5,Q9UBX5,Locally secreted to extracellular matrix
ENSG00000140093,SERPINA10,Q9UK55,Secreted to blood
ENSG00000140285,FGF7,P21781,Locally secreted
ENSG00000140455,USP3,Q9Y6I4,Intracellular or membrane-bound
ENSG00000140470,ADAMTS17,Q8TE56,Locally secreted to extracellular matrix
ENSG00000140479,PCSK6,P29122,Locally secreted to extracellular matrix
ENSG00000140511,HAPLN3,Q96S86,Locally secreted to extracellular matrix
ENSG00000140545,MFGE8,Q08431,Secreted to blood
ENSG00000140557,ST8SIA2,Q92186,Intracellular or membrane-bound
ENSG00000140564,FURIN,P09958,Intracellular or membrane-bound
ENSG00000140691,ARMC5,Q96C12,Intracellular or membrane-bound
ENSG00000140835,CHST4,Q8NCG5,Intracellular or membrane-bound
ENSG00000140839,CLEC18B,Q6UXF7,Secreted to blood
ENSG00000140873,ADAMTS18,Q8TE60,Locally secreted to extracellular matrix
ENSG00000140905,GCSH,P23434,Intracellular or membrane-bound
ENSG00000140945,CDH13,P55290,Intracellular or membrane-bound
ENSG00000141012,GALNS,P34059,Intracellular or membrane-bound
ENSG00000141086,CTRL,P40313,Locally secreted to GI-tract
ENSG00000141096,DPEP3,Q9H4B8,Intracellular or membrane-bound
ENSG00000141098,GFOD2,Q3B7J2,Secreted - unknown location
ENSG00000141316,SPACA3,Q8IXA5,Locally secreted in male tissues
ENSG00000141337,ARSG,Q96EG1,Intracellular or membrane-bound
ENSG00000141429,GALNT1,Q10472,Intracellular or membrane-bound
ENSG00000141433,ADCYAP1,P18509,Locally secreted
ENSG00000141434,MEP1B,Q16820,Locally secreted to GI-tract
ENSG00000141505,ASGR1,P07306,Intracellular or membrane-bound
ENSG00000141574,SECTM1,Q8WVN6,Secreted - unknown location
ENSG00000141655,TNFRSF11A,Q9Y6Q6,Intracellular or membrane-bound
ENSG00000141668,CBLN2,Q8IUK8,Locally secreted in brain
ENSG00000141696,P3H4,Q92791,Intracellular or membrane-bound
ENSG00000141753,IGFBP4,P22692,Secreted to blood
ENSG00000141756,FKBP10,Q96AY3,Intracellular or membrane-bound
ENSG00000141858,SAMD1,NA,Intracellular or membrane-bound
ENSG00000142156,COL6A1,P12109,Locally secreted to extracellular matrix
ENSG00000142173,COL6A2,P12110,Locally secreted to extracellular matrix
ENSG00000142224,IL19,Q9UHD0,Secreted to blood
ENSG00000142233,NTN5,Q8WTR8,Locally secreted in brain
ENSG00000142303,ADAMTS10,Q9H324,Locally secreted to extracellular matrix
ENSG00000142449,FBN3,Q75N90,Locally secreted to extracellular matrix
ENSG00000142453,CARM1,Q86X55,Intracellular or membrane-bound
ENSG00000142512,SIGLEC10,Q96LC7,Intracellular or membrane-bound
ENSG00000142515,KLK3,P07288,Locally secreted in male tissues
ENSG00000142538,PTH2,Q96A98,Locally secreted in brain
ENSG00000142549,IGLON5,A6NGN9,Locally secreted in brain
ENSG00000142552,RCN3,Q96D15,Intracellular or membrane-bound
ENSG00000142606,MMEL1,Q495T6,Intracellular or membrane-bound
ENSG00000142615,CELA2A,P08217,Locally secreted to GI-tract
ENSG00000142700,DMRTA2,Q96SC8,Intracellular or membrane-bound
ENSG00000142748,FCN3,O75636,Secreted to blood
ENSG00000142789,CELA3A,P09093,Locally secreted to GI-tract
ENSG00000142798,HSPG2,P98160,Locally secreted to extracellular matrix
ENSG00000142871,CYR61,O00622,Locally secreted to extracellular matrix
ENSG00000142892,PIGK,Q92643,Intracellular or membrane-bound
ENSG00000142910,TINAGL1,Q9GZM7,Locally secreted to extracellular matrix
ENSG00000142949,PTPRF,P10586,Intracellular or membrane-bound
ENSG00000143107,FNDC7,Q5VTL7,Locally secreted in male tissues
ENSG00000143125,PROK1,P58294,Secreted to blood
ENSG00000143149,ALDH9A1,P49189,Intracellular or membrane-bound
ENSG00000143162,CREG1,O75629,Secreted to blood
ENSG00000143184,XCL1,P47992,Secreted to blood
ENSG00000143185,XCL2,Q9UBD3,Secreted to blood
ENSG00000143196,DPT,Q07507,Locally secreted to extracellular matrix
ENSG00000143217,NECTIN4,Q96NY8,Locally secreted
ENSG00000143278,F13B,P05160,Secreted to blood
ENSG00000143297,FCRL5,Q96RD9,Secreted to blood
ENSG00000143314,MRPL24,Q96A35,Intracellular or membrane-bound
ENSG00000143318,CASQ1,P31415,Intracellular or membrane-bound
ENSG00000143341,HMCN1,Q96RW7,Locally secreted to extracellular matrix
ENSG00000143367,TUFT1,Q9NNX1,Secreted - unknown location
ENSG00000143369,ECM1,Q16610,Locally secreted to extracellular matrix
ENSG00000143382,ADAMTSL4,Q6UY14,Locally secreted to extracellular matrix
ENSG00000143387,CTSK,P43235,Intracellular or membrane-bound
ENSG00000143434,SEMA6C,Q9H3T2,Intracellular or membrane-bound
ENSG00000143443,C1orf56,Q9BUN1,Secreted to blood
ENSG00000143494,VASH2,Q86V25,Secreted to blood
ENSG00000143502,SUSD4,Q5VX71,Intracellular or membrane-bound
ENSG00000143512,HHIPL2,Q6UWX4,Locally secreted
ENSG00000143546,S100A8,P05109,Secreted to blood
ENSG00000143556,S100A7,P31151,Locally secreted
ENSG00000143624,INTS3,Q68E01,Intracellular or membrane-bound
ENSG00000143641,GALNT2,Q10471,Intracellular or membrane-bound
ENSG00000143768,LEFTY2,O00292,Locally secreted
ENSG00000143816,WNT9A,O14904,Locally secreted to extracellular matrix
ENSG00000143869,GDF7,Q7Z4P5,Locally secreted
ENSG00000143870,PDIA6,Q15084,Intracellular or membrane-bound
ENSG00000143954,REG3G,Q6UW15,Locally secreted to GI-tract
ENSG00000144115,THNSL2,Q86YJ6,Secreted - unknown location
ENSG00000144119,C1QL2,Q7Z5L3,Locally secreted in brain
ENSG00000144152,FBLN7,Q53RD9,Locally secreted to extracellular matrix
ENSG00000144214,LYG1,Q8N1E2,Secreted - unknown location
ENSG00000144227,NXPH2,O95156,Locally secreted in brain
ENSG00000144339,TMEFF2,Q9UIK5,Locally secreted in male tissues
ENSG00000144410,CPO,Q8IVL8,Intracellular or membrane-bound
ENSG00000144455,SUMF1,Q8NBK3,Intracellular or membrane-bound
ENSG00000144580,CNOT9,Q92600,Intracellular or membrane-bound
ENSG00000144619,CNTN4,Q8IWV2,Intracellular or membrane-bound
ENSG00000144647,POMGNT2,Q8NAT1,Intracellular or membrane-bound
ENSG00000144649,FAM198A,Q9UFP1,Secreted - unknown location
ENSG00000144668,ITGA9,Q13797,Intracellular or membrane-bound
ENSG00000144810,COL8A1,P27658,Locally secreted to extracellular matrix
ENSG00000144815,NXPE3,Q969Y0,Secreted - unknown location
ENSG00000144827,ABHD10,Q9NUJ1,Intracellular or membrane-bound
ENSG00000144837,PLA1A,Q53H76,Locally secreted
ENSG00000144857,BOC,Q9BWV1,Intracellular or membrane-bound
ENSG00000144868,TMEM108,Q6UXF1,Intracellular or membrane-bound
ENSG00000145014,TMEM44,Q2T9K0,Intracellular or membrane-bound
ENSG00000145040,UCN2,Q96RP3,Secreted to blood
ENSG00000145050,MANF,NA,Secreted to blood
ENSG00000145103,ILDR1,Q86SU0,Intracellular or membrane-bound
ENSG00000145113,MUC4,Q99102,Locally secreted
ENSG00000145147,SLIT2,O94813,Locally secreted
ENSG00000145192,AHSG,P02765,Secreted to blood
ENSG00000145244,CORIN,Q9Y5Q5,Intracellular or membrane-bound
ENSG00000145321,GC,P02774,Secreted to blood
ENSG00000145335,SNCA,P37840,Intracellular or membrane-bound
ENSG00000145423,SFRP2,Q96HF1,Locally secreted
ENSG00000145431,PDGFC,Q9NRA1,Secreted to blood
ENSG00000145526,CDH18,Q13634,Intracellular or membrane-bound
ENSG00000145536,ADAMTS16,Q8TE57,Locally secreted to extracellular matrix
ENSG00000145623,OSMR,Q99650,Intracellular or membrane-bound
ENSG00000145649,GZMA,P12544,Secreted to blood
ENSG00000145681,HAPLN1,P10915,Locally secreted to extracellular matrix
ENSG00000145708,CRHBP,P24387,Secreted to blood
ENSG00000145730,PAM,P19021,Locally secreted
ENSG00000145777,TSLP,Q969D9,Secreted to blood
ENSG00000145794,MEGF10,Q96KG7,Intracellular or membrane-bound
ENSG00000145808,ADAMTS19,Q8TE59,Locally secreted to extracellular matrix
ENSG00000145824,CXCL14,O95715,Secreted to blood
ENSG00000145826,LECT2,O14960,Secreted to blood
ENSG00000145839,IL9,P15248,Secreted to blood
ENSG00000145861,C1QTNF2,Q9BXJ5,Secreted to blood
ENSG00000145879,SPINK7,P58062,Secreted - unknown location
ENSG00000145882,PCYOX1L,Q8NBM8,Secreted - unknown location
ENSG00000145990,GFOD1,Q9NXC2,Secreted - unknown location
ENSG00000146070,PLA2G7,Q13093,Secreted to blood
ENSG00000146197,SCUBE3,Q8IX30,Secreted to blood
ENSG00000146205,ANO7,Q6IWH7,Intracellular or membrane-bound
ENSG00000146250,PRSS35,Q8N3Z0,Locally secreted in female tissues
ENSG00000146374,RSPO3,Q9BXY4,Secreted to blood
ENSG00000146469,VIP,P01282,Secreted to blood
ENSG00000146530,VWDE,Q8N2E2,Secreted - unknown location
ENSG00000146674,IGFBP3,P17936,Secreted to blood
ENSG00000146678,IGFBP1,P08833,Secreted to blood
ENSG00000146700,SSC4D,Q8WTU2,Secreted - unknown location
ENSG00000147050,KDM6A,O15550,Intracellular or membrane-bound
ENSG00000147113,CXorf36,Q9H7Y0,Secreted - unknown location
